Group;Testing;;;Training;;
recurrence;No;Yes;p;No;Yes;p
  - Classic                     ;3 ( 1.7%); 0 ( 0.0%);;11 ( 1.6%);1 ( 0.9%);
  - Follicular variant          ;5 ( 2.9%); 0 ( 0.0%);;15 ( 2.2%); 0 ( 0.0%);
  - Encapsulated                ; 0 ( 0.0%);1 ( 3.4%);;4 ( 0.6%);3 ( 2.7%);
  - Diffuse sclerosant          ;9 ( 5.2%); 0 ( 0.0%);;15 ( 2.2%);1 ( 0.9%);
  - High cells                  ;7 ( 4.0%);2 ( 6.9%);;31 ( 4.5%);6 ( 5.4%);
  - Colunar cells               ;1 ( 0.6%); 0 ( 0.0%);;4 ( 0.6%);1 ( 0.9%);
  - Warthin-like                ;2 ( 1.2%); 0 ( 0.0%);;5 ( 0.7%); 0 ( 0.0%);
  - Oncocytic                   ;2 ( 1.2%);1 ( 3.4%);;5 ( 0.7%);2 ( 1.8%);
  - Trabecular/Solid            ;1 ( 0.6%); 0 ( 0.0%);;4 ( 0.6%); 0 ( 0.0%);
  - Classic and Follicular      ;1 ( 0.6%);1 ( 3.4%);;1 ( 0.1%);1 ( 0.9%);
  - Follicular and oncocytic    ;11 ( 6.4%); 0 ( 0.0%);;46 ( 6.7%);13 (11.7%);
