;Mean ± SD or %;;;;;;;;
;Testing;;;Training;;;Overall;;
;No recurrence;Recurrence;p;No recurrence;Recurrence;p;Patients ;N;Missing (%)
TG at following                 ; 1.0 ±  6.7;241.1 ± 904.0;0.156; 1.1 ±  6.0;220.0 ± 817.6;0.005;32.0 ± 318.8;1039;24 ( 2.3%)
Subtype                         ;;;1.000;;;0.188;;998;65 ( 6.1%)
  - Minimally invasive          ;72 (41.6%);17 (58.6%);;354 (51.7%);55 (49.5%);;498 (49.9%);;
  - Encapsulated invasive       ; 0 ( 0.0%); 0 ( 0.0%);;1 ( 0.1%); 0 ( 0.0%);;1 (0.1%);;
  - Widely invasive             ;59 (34.1%);7 (24.1%);;189 (27.6%);28 (25.2%);;283 (28.4%);;
  - Classic                     ;3 ( 1.7%); 0 ( 0.0%);;11 ( 1.6%);1 ( 0.9%);;15 (1.5%);;
  - Follicular variant          ;5 ( 2.9%); 0 ( 0.0%);;15 ( 2.2%); 0 ( 0.0%);;20 (2.0%);;
  - Encapsulated                ; 0 ( 0.0%);1 ( 3.4%);;4 ( 0.6%);3 ( 2.7%);;8 (0.8%);;
  - Diffuse sclerosant          ;9 ( 5.2%); 0 ( 0.0%);;15 ( 2.2%);1 ( 0.9%);;25 (2.5%);;
  - High cells                  ;7 ( 4.0%);2 ( 6.9%);;31 ( 4.5%);6 ( 5.4%);;46 (4.6%);;
  - Colunar cells               ;1 ( 0.6%); 0 ( 0.0%);;4 ( 0.6%);1 ( 0.9%);;6 (0.6%);;
  - Warthin-like                ;2 ( 1.2%); 0 ( 0.0%);;5 ( 0.7%); 0 ( 0.0%);;7 (0.7%);;
  - Oncocytic                   ;2 ( 1.2%);1 ( 3.4%);;5 ( 0.7%);2 ( 1.8%);;10 (1.0%);;
  - Trabecular/Solid            ;1 ( 0.6%); 0 ( 0.0%);;4 ( 0.6%); 0 ( 0.0%);;5 (0.5%);;
  - Classic and Follicular      ;1 ( 0.6%);1 ( 3.4%);;1 ( 0.1%);1 ( 0.9%);;4 (0.4%);;
  - Follicular and oncocytic    ;11 ( 6.4%); 0 ( 0.0%);;46 ( 6.7%);13 (11.7%);;70 (7.0%);;
