accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,roc_auc_score,auc,observed,expected,oe_ratio,brier_score,log_loss,ece,calibration_intercept,calibration_slope,model,imputation,best_cv_auc
0.9133333333333333,0.6818181818181818,0.7142857142857143,0.6976744186046512,122,7,6,15,0.5,0.8970099667774087,0.8970099667774087,21,23.32183191697294,0.9004438448386561,0.07187370121488844,0.33648791816712453,0.04339167833899478,-0.9643749627259139,0.33993885484108016,GaussianNB_tuned,7,0.8789801181673191
0.8933333333333333,0.6190476190476191,0.6190476190476191,0.6190476190476191,121,8,8,13,0.5,0.890734588409007,0.890734588409007,21,23.452866697801497,0.8954129262999038,0.08181449676948613,0.34904838522301807,0.05878104889019892,-0.9187793546850601,0.34296688604481645,GaussianNB_tuned,8,0.8729402820066696
0.8866666666666667,0.5909090909090909,0.6190476190476191,0.6046511627906976,120,9,8,13,0.5,0.8726467331118494,0.8726467331118494,21,21.31155320266788,0.9853810184689458,0.08046630085875695,0.382407851655135,0.07535155740144256,-0.8370849199509316,0.3143785092353173,GaussianNB_tuned,9,0.8713323727707699
0.88,0.5652173913043478,0.6190476190476191,0.5909090909090909,119,10,8,13,0.5,0.8844592100406053,0.8844592100406053,21,23.913065285191987,0.878181017345531,0.09114543258177275,0.39583292949232796,0.08576374613885965,-1.0009220745559984,0.30662781661647326,GaussianNB_tuned,10,0.8756029433086848
0.8666666666666667,0.5161290322580645,0.7619047619047619,0.6153846153846154,114,15,5,16,0.5,0.8968253968253969,0.8968253968253969,21,44.09366120724143,0.4762589321240397,0.10678595899139844,0.35968308195756227,0.15395774138160956,-1.4882618869057573,1.0638940652532949,LightGBM_tuned,1,0.8917508518196315
0.86,0.5,0.7142857142857143,0.5882352941176471,114,15,6,15,0.5,0.9036544850498339,0.9036544850498339,21,44.771758699507615,0.46904567991051355,0.10826392206070376,0.3579713923152958,0.15847839133005076,-1.5933887934108528,1.1055454976900034,LightGBM_tuned,2,0.8977420436421634
0.8466666666666667,0.46875,0.7142857142857143,0.5660377358490566,112,17,6,15,0.5,0.8899963086009596,0.8899963086009596,21,40.66035131772871,0.5164736486387315,0.10318239151036429,0.3378890866884275,0.13106900878485805,-1.4041222091151295,0.992713030919208,LightGBM_tuned,3,0.9069984051036682
0.86,0.5,0.7142857142857143,0.5882352941176471,114,15,6,15,0.5,0.8942414174972314,0.8942414174972314,21,44.63034108466548,0.4705319181890676,0.11255094493359451,0.3638651301268309,0.15753560723110324,-1.530347752167648,1.0876268367145434,LightGBM_tuned,4,0.9037438741481804
0.8333333333333334,0.4411764705882353,0.7142857142857143,0.5454545454545454,110,19,6,15,0.5,0.8925802879291251,0.8925802879291251,21,45.60047742836894,0.4605214941661004,0.11269864359539715,0.3685250785597161,0.16400318285579293,-1.557007917032282,1.1001727648506399,LightGBM_tuned,5,0.8877042192257504
0.88,0.5555555555555556,0.7142857142857143,0.625,117,12,6,15,0.5,0.9090070136581765,0.9090070136581765,21,43.5302488891642,0.48242315483813925,0.10059817203488125,0.3410358099548543,0.15020165926109466,-1.5058417938103539,1.1254368739021359,LightGBM_tuned,6,0.9044498513846598
