model,imputation,best_cv_auc,best_params
SVC,6,0.8936803320284181,"{'model__gamma': 'auto', 'model__C': np.float64(0.46415888336127775)}"
SVC,7,0.9033724445411048,"{'model__gamma': 'auto', 'model__C': np.float64(0.46415888336127775)}"
SVC,8,0.8980492243004203,"{'model__gamma': 'auto', 'model__C': np.float64(0.46415888336127775)}"
SVC,9,0.9057680150790197,"{'model__gamma': 'auto', 'model__C': np.float64(0.46415888336127775)}"
SVC,10,0.9005272582282151,"{'model__gamma': 'auto', 'model__C': np.float64(0.46415888336127775)}"
KNN,1,0.863772491663042,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 31}"
KNN,2,0.8613062200956938,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 21}"
KNN,3,0.8743633101348411,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 31}"
KNN,4,0.8792785812672177,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 31}"
KNN,5,0.8642202769319993,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 21}"
KNN,6,0.8799304226475279,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 21}"
KNN,7,0.8859098521096127,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 21}"
KNN,8,0.8606076555023924,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}"
KNN,9,0.8728873604465711,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 21}"
KNN,10,0.8580411410758302,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 31}"
