accuracy,precision,recall,f1,roc_auc_score,auc,c_statistic,brier_score,observed,expected,observed_expected,calibration_intercept,calibration_slope,tn,fp,fn,tp,threshold,model,imputation
0.8723404255319149,0.6,0.23076923076923078,0.3333333333333333,0.8364197530864198,0.8364197530864198,0.8364197530864198,0.08420546808510639,26,20.894,1.2443763759931081,0.22460736809146756,0.9253702066865931,158,4,20,6,0.5,RandomForest,6
0.8882978723404256,0.6923076923076923,0.34615384615384615,0.46153846153846156,0.8351139601139601,0.8351139601139601,0.8351139601139601,0.08368721276595743,26,20.634,1.2600562178927983,0.30931743327311895,0.9658697258869864,158,4,17,9,0.5,RandomForest,7
0.8776595744680851,0.6153846153846154,0.3076923076923077,0.41025641025641024,0.8294159544159544,0.8294159544159544,0.8294159544159544,0.08622693617021275,26,20.680000000000003,1.2572533849129592,0.25401374345113453,0.9324664483138627,157,5,18,8,0.5,RandomForest,8
0.8936170212765957,0.8,0.3076923076923077,0.4444444444444444,0.8329772079772081,0.8329772079772081,0.8329772079772081,0.08331885106382979,26,19.608,1.3259893920848633,0.45155718862866495,1.0066686486431213,160,2,18,8,0.5,RandomForest,9
0.898936170212766,0.8181818181818182,0.34615384615384615,0.4864864864864865,0.8258547008547008,0.8258547008547008,0.8258547008547008,0.08217995744680852,26,19.8,1.3131313131313131,0.43364307211623465,1.0024265646741806,160,2,17,9,0.5,RandomForest,10
0.898936170212766,1.0,0.2692307692307692,0.42424242424242425,0.7460826210826212,0.7460826210826212,0.7460826210826212,0.0925531914893617,26,20.599999999999998,1.2621359223300972,-1.1324952432096225,0.18937553511371547,162,0,19,7,0.5,KNN,1
0.8936170212765957,0.875,0.2692307692307692,0.4117647058823529,0.7324311490978157,0.7324311490978157,0.7324311490978157,0.095177304964539,26,20.666666666666664,1.2580645161290325,-1.2654478474210327,0.13834550511920776,161,1,19,7,0.5,KNN,2
0.898936170212766,1.0,0.2692307692307692,0.42424242424242425,0.741690408357075,0.741690408357075,0.741690408357075,0.09085106382978725,26,19.4,1.3402061855670104,-1.0568836795289585,0.19727039377982478,162,0,19,7,0.5,KNN,3
0.898936170212766,1.0,0.2692307692307692,0.42424242424242425,0.7356362773029439,0.7356362773029439,0.7356362773029439,0.0888179669030733,26,20.466666666666665,1.2703583061889252,-1.2980749555556617,0.12833783102196317,162,0,19,7,0.5,KNN,4
0.898936170212766,1.0,0.2692307692307692,0.42424242424242425,0.7401471984805319,0.7401471984805319,0.7401471984805319,0.09063829787234044,26,20.4,1.2745098039215688,-1.0066402175308695,0.25024268174539593,162,0,19,7,0.5,KNN,5
0.8936170212765957,0.875,0.2692307692307692,0.4117647058823529,0.6817426400759734,0.6817426400759734,0.6817426400759734,0.09806146572104021,26,21.999999999999996,1.181818181818182,-1.452779160356467,0.08731024625613582,161,1,19,7,0.5,KNN,6
0.898936170212766,1.0,0.2692307692307692,0.42424242424242425,0.742283950617284,0.742283950617284,0.742283950617284,0.08867612293144209,26,19.666666666666664,1.322033898305085,-1.113155852316256,0.16934759855994386,162,0,19,7,0.5,KNN,7
0.898936170212766,1.0,0.2692307692307692,0.42424242424242425,0.7400284900284899,0.7400284900284899,0.7400284900284899,0.090354609929078,26,19.46666666666666,1.3356164383561648,-1.1807547016661448,0.16013566334630297,162,0,19,7,0.5,KNN,8
0.898936170212766,1.0,0.2692307692307692,0.42424242424242425,0.7224596391263058,0.7224596391263058,0.7224596391263058,0.09094562647754138,26,20.999999999999996,1.2380952380952384,-1.246147120122949,0.1503321521134006,162,0,19,7,0.5,KNN,9
0.898936170212766,1.0,0.2692307692307692,0.42424242424242425,0.7727920227920229,0.7727920227920229,0.7727920227920229,0.08744680851063831,26,20.599999999999994,1.2621359223300974,-0.9621286881860678,0.25925112940410516,162,0,19,7,0.5,KNN,10
0.8829787234042553,0.75,0.23076923076923078,0.35294117647058826,0.7343304843304844,0.7343304843304844,0.7343304843304844,0.09406128601326352,26,26.126124874909074,0.9951724614533172,-0.0827273645370325,0.9557057211972945,160,2,20,6,0.5,SVC,1
0.8882978723404256,0.7777777777777778,0.2692307692307692,0.4,0.7656695156695157,0.7656695156695157,0.7656695156695157,0.09206805596454573,26,25.883469262417282,1.004502129772531,-0.036483305762649076,0.9747655028683875,160,2,19,7,0.5,SVC,2
0.8882978723404256,0.8571428571428571,0.23076923076923078,0.36363636363636365,0.7651946818613485,0.7651946818613485,0.7651946818613485,0.08983372127731554,26,26.187168508120568,0.992852663392664,0.17076130200550665,1.1075103055157212,161,1,20,6,0.5,SVC,3
0.8936170212765957,0.8,0.3076923076923077,0.4444444444444444,0.7537986704653371,0.7537986704653371,0.7537986704653371,0.08977251908493589,26,27.097101492446598,0.9595122196832595,-0.05062274744544293,1.0076152683851753,160,2,18,8,0.5,SVC,4
0.8936170212765957,0.8,0.3076923076923077,0.4444444444444444,0.7483380816714149,0.7483380816714149,0.7483380816714149,0.08822622897477388,26,26.93384440466239,0.9653282171444958,0.0023347334947135066,1.0341603234008163,160,2,18,8,0.5,SVC,5
